Order ID,Product,Quantity Ordered,Price Each,Purchase Address,Month,Day,Year
176583,AAA Batteries (4-pack),2,2.99,"146 Jackson St, Portland, OR 97035",,,
176584,Flatscreen TV,1,300,"936 Church St, San Francisco, CA 94016",,,
176585,Bose SoundSport Headphones,1,99.99,"823 Highland St, Boston, MA 02215",,,
176585,Bose SoundSport Headphones,1,99.99,"823 Highland St, Boston, MA 02215",,,
176586,AAA Batteries (4-pack),2,2.99,"365 Center St, San Francisco, CA 94016",,,
176586,Google Phone,1,600,"365 Center St, San Francisco, CA 94016",,,
176587,27in FHD Monitor,1,149.99,"557 5th St, Los Angeles, CA 90001",,,
176588,20in Monitor,1,109.99,"765 Cherry St, Seattle, WA 98101",,,
176589,Lightning Charging Cable,1,14.95,"846 Highland St, Atlanta, GA 30301",,,
176590,Google Phone,1,600,"873 6th St, New York City, NY 10001",,,
176591,Apple Airpods Headphones,1,150,"600 Maple St, Austin, TX 73301",,,
176592,USB-C Charging Cable,1,11.95,"352 4th St, Los Angeles, CA 90001",,,
176593,Lightning Charging Cable,2,14.95,"906 7th St, Portland, OR 97035",,,
176594,Wired Headphones,1,11.99,"63 Maple St, San Francisco, CA 94016",,,
176595,Wired Headphones,3,11.99,"383 6th St, Los Angeles, CA 90001",,,
176596,Apple Airpods Headphones,1,150,"572 Meadow St, Dallas, TX 75001",,,
176597,USB-C Charging Cable,1,11.95,"681 11th St, San Francisco, CA 94016",,,
176598,AAA Batteries (4-pack),2,2.99,"294 Park St, San Francisco, CA 94016",,,
176599,Lightning Charging Cable,1,14.95,"279 Maple St, New York City, NY 10001",,,
176600,27in 4K Gaming Monitor,1,389.99,"87 West St, Boston, MA 02215",,,
176601,USB-C Charging Cable,1,11.95,"754 10th St, Los Angeles, CA 90001",,,
176602,Lightning Charging Cable,1,14.95,"9 Jefferson St, Dallas, TX 75001",,,
176603,USB-C Charging Cable,1,11.95,"858 6th St, San Francisco, CA 94016",,,
176604,USB-C Charging Cable,1,11.95,"462 11th St, San Francisco, CA 94016",,,
176605,USB-C Charging Cable,1,11.95,"717 Pine St, San Francisco, CA 94016",,,
176606,LG Dryer,1,600,"487 Maple St, San Francisco, CA 94016",,,
176607,AAA Batteries (4-pack),2,2.99,"689 10th St, Boston, MA 02215",,,
176608,iPhone,1,700,"15 Cherry St, San Francisco, CA 94016",,,
176609,Apple Airpods Headphones,1,150,"267 11th St, Austin, TX 73301",,,
176610,AAA Batteries (4-pack),1,2.99,"382 River St, Dallas, TX 75001",,,
176611,Bose SoundSport Headphones,1,99.99,"971 Sunset St, San Francisco, CA 94016",,,
176612,Apple Airpods Headphones,1,150,"149 North St, Seattle, WA 98101",,,
176613,USB-C Charging Cable,2,11.95,"405 4th St, New York City, NY 10001",,,
176614,AA Batteries (4-pack),1,3.84,"647 Jackson St, San Francisco, CA 94016",,,
176615,Lightning Charging Cable,1,14.95,"833 River St, Dallas, TX 75001",,,
176616,USB-C Charging Cable,1,11.95,"380 Washington St, San Francisco, CA 94016",,,
176617,Apple Airpods Headphones,1,150,"319 8th St, Portland, OR 97035",,,
176618,Lightning Charging Cable,2,14.95,"273 South St, San Francisco, CA 94016",,,
176619,Flatscreen TV,1,300,"116 North St, Los Angeles, CA 90001",,,
176620,USB-C Charging Cable,1,11.95,"994 Pine St, Los Angeles, CA 90001",,,
176621,Lightning Charging Cable,1,14.95,"863 8th St, Boston, MA 02215",,,
176622,AA Batteries (4-pack),1,3.84,"983 11th St, San Francisco, CA 94016",,,
176623,27in FHD Monitor,1,149.99,"807 12th St, Atlanta, GA 30301",,,
176624,AA Batteries (4-pack),1,3.84,"664 Church St, Seattle, WA 98101",,,
176625,AAA Batteries (4-pack),2,2.99,"858 5th St, San Francisco, CA 94016",,,
176626,Bose SoundSport Headphones,1,99.99,"491 Chestnut St, Boston, MA 02215",,,
176627,Wired Headphones,1,11.99,"994 13th St, Atlanta, GA 30301",,,
176628,Lightning Charging Cable,2,14.95,"628 Wilson St, Dallas, TX 75001",,,
176629,USB-C Charging Cable,1,11.95,"101 Lincoln St, San Francisco, CA 94016",,,
176630,Google Phone,1,600,"770 Maple St, San Francisco, CA 94016",,,
176631,USB-C Charging Cable,1,11.95,"292 Dogwood St, San Francisco, CA 94016",,,
176632,AAA Batteries (4-pack),1,2.99,"814 Madison St, San Francisco, CA 94016",,,
176633,ThinkPad Laptop,1,999.99,"863 Hickory St, Los Angeles, CA 90001",,,
176634,Lightning Charging Cable,1,14.95,"311 Madison St, Atlanta, GA 30301",,,
176635,Vareebadd Phone,1,400,"85 North St, San Francisco, CA 94016",,,
176636,AA Batteries (4-pack),1,3.84,"140 10th St, Boston, MA 02215",,,
176637,AAA Batteries (4-pack),1,2.99,"261 Sunset St, New York City, NY 10001",,,
176638,USB-C Charging Cable,1,11.95,"869 Cherry St, Boston, MA 02215",,,
176639,Macbook Pro Laptop,1,1700,"853 Cedar St, San Francisco, CA 94016",,,
176640,Wired Headphones,2,11.99,"164 Lake St, San Francisco, CA 94016",,,
176641,Lightning Charging Cable,1,14.95,"655 Sunset St, Boston, MA 02215",,,
176642,AA Batteries (4-pack),1,3.84,"72 Elm St, Portland, OR 97035",,,
176643,Macbook Pro Laptop,1,1700,"373 Adams St, Boston, MA 02215",,,
176644,USB-C Charging Cable,1,11.95,"962 7th St, Los Angeles, CA 90001",,,
176645,AAA Batteries (4-pack),3,2.99,"514 Lake St, Dallas, TX 75001",,,
176646,Macbook Pro Laptop,1,1700,"657 Adams St, Portland, OR 97035",,,
176647,Google Phone,1,600,"273 South St, Los Angeles, CA 90001",,,
176648,27in FHD Monitor,1,149.99,"732 2nd St, Portland, OR 97035",,,
176649,USB-C Charging Cable,1,11.95,"702 11th St, San Francisco, CA 94016",,,
176650,Lightning Charging Cable,1,14.95,"153 River St, Boston, MA 02215",,,
176651,iPhone,1,700,"997 South St, Boston, MA 02215",,,
176652,LG Washing Machine,1,600,"502 14th St, New York City, NY 10001",,,
176653,AA Batteries (4-pack),1,3.84,"285 Chestnut St, San Francisco, CA 94016",,,
176654,USB-C Charging Cable,1,11.95,"880 Lakeview St, Seattle, WA 98101",,,
176655,Apple Airpods Headphones,1,150,"848 Center St, San Francisco, CA 94016",,,
176656,Google Phone,1,600,"12 Lakeview St, New York City, NY 10001",,,
176657,ThinkPad Laptop,1,999.99,"774 Forest St, Los Angeles, CA 90001",,,
176658,AAA Batteries (4-pack),2,2.99,"573 Pine St, San Francisco, CA 94016",,,
176659,20in Monitor,1,109.99,"804 Church St, Dallas, TX 75001",,,
176660,AA Batteries (4-pack),1,3.84,"267 West St, Boston, MA 02215",,,
176661,Wired Headphones,1,11.99,"522 6th St, Atlanta, GA 30301",,,
176662,34in Ultrawide Monitor,1,379.99,"678 Hickory St, Portland, OR 97035",,,
176663,Bose SoundSport Headphones,1,99.99,"450 Johnson St, Seattle, WA 98101",,,
176664,AAA Batteries (4-pack),1,2.99,"544 Madison St, Los Angeles, CA 90001",,,
176665,ThinkPad Laptop,1,999.99,"927 13th St, Dallas, TX 75001",,,
176666,Wired Headphones,1,11.99,"382 Forest St, Seattle, WA 98101",,,
176667,27in 4K Gaming Monitor,1,389.99,"92 11th St, Los Angeles, CA 90001",,,
176668,AA Batteries (4-pack),1,3.84,"56 2nd St, Dallas, TX 75001",,,
176669,27in FHD Monitor,1,149.99,"506 Jackson St, Dallas, TX 75001",,,
176670,Apple Airpods Headphones,1,150,"892 Willow St, San Francisco, CA 94016",,,
176671,AAA Batteries (4-pack),2,2.99,"738 Jefferson St, New York City, NY 10001",,,
176672,Lightning Charging Cable,1,14.95,"778 Maple St, New York City, NY 10001",,,
176672,USB-C Charging Cable,1,11.95,"778 Maple St, New York City, NY 10001",,,
176673,20in Monitor,1,109.99,"952 1st St, Boston, MA 02215",,,
176674,AAA Batteries (4-pack),3,2.99,"907 West St, Austin, TX 73301",,,
176675,AAA Batteries (4-pack),1,2.99,"933 Meadow St, Seattle, WA 98101",,,
176676,LG Dryer,1,600,"788 Lincoln St, Los Angeles, CA 90001",,,
176677,34in Ultrawide Monitor,1,379.99,"661 Washington St, Austin, TX 73301",,,
176678,AA Batteries (4-pack),2,3.84,"345 Sunset St, San Francisco, CA 94016",,,
176679,Apple Airpods Headphones,1,150,"245 West St, Boston, MA 02215",,,
176680,USB-C Charging Cable,1,11.95,"368 Main St, Los Angeles, CA 90001",,,
176681,Apple Airpods Headphones,1,150,"331 Cherry St, Seattle, WA 98101",,,
176681,ThinkPad Laptop,1,999.99,"331 Cherry St, Seattle, WA 98101",,,
176682,Lightning Charging Cable,1,14.95,"593 Adams St, Boston, MA 02215",,,
176683,AA Batteries (4-pack),1,3.84,"253 Willow St, Los Angeles, CA 90001",,,
176684,USB-C Charging Cable,1,11.95,"293 Washington St, Los Angeles, CA 90001",,,
176685,34in Ultrawide Monitor,1,379.99,"114 10th St, New York City, NY 10001",,,
176686,Wired Headphones,1,11.99,"892 10th St, Austin, TX 73301",,,
176687,Macbook Pro Laptop,1,1700,"121 Wilson St, Los Angeles, CA 90001",,,
176688,Flatscreen TV,1,300,"229 Church St, San Francisco, CA 94016",,,
176689,Bose SoundSport Headphones,1,99.99,"659 Lincoln St, New York City, NY 10001",,,
176689,AAA Batteries (4-pack),2,2.99,"659 Lincoln St, New York City, NY 10001",,,
176690,20in Monitor,1,109.99,"873 Sunset St, San Francisco, CA 94016",,,
176691,AAA Batteries (4-pack),1,2.99,"991 Lincoln St, Los Angeles, CA 90001",,,
176692,Wired Headphones,1,11.99,"290 Forest St, San Francisco, CA 94016",,,
176693,AA Batteries (4-pack),1,3.84,"252 Walnut St, San Francisco, CA 94016",,,
176694,USB-C Charging Cable,1,11.95,"985 Washington St, Atlanta, GA 30301",,,
176695,AA Batteries (4-pack),2,3.84,"709 Lake St, Seattle, WA 98101",,,
176696,iPhone,1,700,"343 Johnson St, New York City, NY 10001",,,
176697,Wired Headphones,1,11.99,"675 Center St, New York City, NY 10001",,,
176698,Bose SoundSport Headphones,1,99.99,"232 Lakeview St, San Francisco, CA 94016",,,
176699,Bose SoundSport Headphones,1,99.99,"49 Jefferson St, Boston, MA 02215",,,
176700,34in Ultrawide Monitor,1,379.99,"967 Walnut St, Dallas, TX 75001",,,
176701,USB-C Charging Cable,1,11.95,"128 Church St, Austin, TX 73301",,,
176702,AA Batteries (4-pack),1,3.84,"896 Sunset St, Seattle, WA 98101",,,
176703,20in Monitor,1,109.99,"748 Washington St, New York City, NY 10001",,,
176704,AA Batteries (4-pack),2,3.84,"909 Center St, Seattle, WA 98101",,,
176705,Lightning Charging Cable,2,14.95,"503 8th St, Austin, TX 73301",,,
176706,Lightning Charging Cable,1,14.95,"309 South St, New York City, NY 10001",,,
176707,Apple Airpods Headphones,1,150,"408 Center St, Portland, OR 97035",,,
176708,Wired Headphones,1,11.99,"542 Ridge St, New York City, NY 10001",,,
176709,AA Batteries (4-pack),1,3.84,"971 Church St, Dallas, TX 75001",,,
176710,20in Monitor,2,109.99,"848 West St, Dallas, TX 75001",,,
176711,Flatscreen TV,1,300,"796 River St, Dallas, TX 75001",,,
176712,Google Phone,1,600,"910 Washington St, San Francisco, CA 94016",,,
176713,Wired Headphones,1,11.99,"498 Walnut St, San Francisco, CA 94016",,,
176714,USB-C Charging Cable,1,11.95,"303 Spruce St, Los Angeles, CA 90001",,,
176715,Apple Airpods Headphones,1,150,"258 Jefferson St, San Francisco, CA 94016",,,
176716,Wired Headphones,1,11.99,"794 7th St, Los Angeles, CA 90001",,,
176717,Apple Airpods Headphones,1,150,"490 Lakeview St, Atlanta, GA 30301",,,
176718,Lightning Charging Cable,1,14.95,"672 Sunset St, Los Angeles, CA 90001",,,
176719,Flatscreen TV,1,300,"602 Hickory St, Boston, MA 02215",,,
176720,Lightning Charging Cable,1,14.95,"556 South St, Portland, OR 97035",,,
176721,AAA Batteries (4-pack),1,2.99,"469 7th St, San Francisco, CA 94016",,,
176722,27in 4K Gaming Monitor,1,389.99,"209 14th St, New York City, NY 10001",,,
176723,27in 4K Gaming Monitor,1,389.99,"613 12th St, Portland, OR 97035",,,
176724,Lightning Charging Cable,1,14.95,"34 12th St, San Francisco, CA 94016",,,
176725,AA Batteries (4-pack),2,3.84,"630 14th St, San Francisco, CA 94016",,,
176726,USB-C Charging Cable,1,11.95,"979 8th St, Los Angeles, CA 90001",,,
176727,Lightning Charging Cable,1,14.95,"218 Hickory St, Los Angeles, CA 90001",,,
176728,Lightning Charging Cable,1,14.95,"516 Park St, Atlanta, GA 30301",,,
176729,USB-C Charging Cable,1,11.95,"637 9th St, Seattle, WA 98101",,,
176730,Bose SoundSport Headphones,1,99.99,"403 Ridge St, New York City, NY 10001",,,
176731,AAA Batteries (4-pack),2,2.99,"36 Lincoln St, San Francisco, CA 94016",,,
176732,iPhone,1,700,"504 Wilson St, Dallas, TX 75001",,,
176733,20in Monitor,1,109.99,"575 Hickory St, San Francisco, CA 94016",,,
176734,Apple Airpods Headphones,1,150,"611 Jackson St, New York City, NY 10001",,,
176735,27in FHD Monitor,1,149.99,"802 Ridge St, Austin, TX 73301",,,
176736,AA Batteries (4-pack),1,3.84,"421 2nd St, Los Angeles, CA 90001",,,
176737,Apple Airpods Headphones,1,150,"109 Center St, Los Angeles, CA 90001",,,
176738,AA Batteries (4-pack),1,3.84,"661 Center St, San Francisco, CA 94016",,,
176739,34in Ultrawide Monitor,1,379.99,"730 6th St, Austin, TX 73301",,,
176739,Google Phone,1,600,"730 6th St, Austin, TX 73301",,,
176740,Bose SoundSport Headphones,1,99.99,"699 Washington St, Dallas, TX 75001",,,
176741,USB-C Charging Cable,1,11.95,"990 Ridge St, San Francisco, CA 94016",,,
176742,Wired Headphones,1,11.99,"115 Forest St, Los Angeles, CA 90001",,,
176743,27in 4K Gaming Monitor,1,389.99,"570 11th St, Atlanta, GA 30301",,,
176744,Lightning Charging Cable,1,14.95,"937 Maple St, Los Angeles, CA 90001",,,
176745,Wired Headphones,1,11.99,"461 Adams St, Los Angeles, CA 90001",,,
176746,27in 4K Gaming Monitor,1,389.99,"638 Park St, Seattle, WA 98101",,,
176747,Macbook Pro Laptop,1,1700,"645 7th St, San Francisco, CA 94016",,,
176748,Flatscreen TV,1,300,"339 13th St, Boston, MA 02215",,,
176749,ThinkPad Laptop,1,999.99,"322 Adams St, Seattle, WA 98101",,,
176750,AA Batteries (4-pack),1,3.84,"255 Cedar St, Austin, TX 73301",,,
176751,AAA Batteries (4-pack),1,2.99,"258 4th St, San Francisco, CA 94016",,,
176752,AA Batteries (4-pack),1,3.84,"665 Wilson St, San Francisco, CA 94016",,,
176753,USB-C Charging Cable,1,11.95,"496 Adams St, Atlanta, GA 30301",,,
176754,34in Ultrawide Monitor,1,379.99,"288 Forest St, Los Angeles, CA 90001",,,
176755,27in 4K Gaming Monitor,1,389.99,"825 Madison St, Seattle, WA 98101",,,
176756,27in FHD Monitor,1,149.99,"348 Lake St, New York City, NY 10001",,,
176757,AA Batteries (4-pack),1,3.84,"79 Hickory St, Portland, OR 97035",,,
176758,34in Ultrawide Monitor,1,379.99,"166 Highland St, San Francisco, CA 94016",,,
176759,Lightning Charging Cable,1,14.95,"864 Main St, Los Angeles, CA 90001",,,
176760,Wired Headphones,1,11.99,"813 Highland St, San Francisco, CA 94016",,,
176761,Apple Airpods Headphones,1,150,"830 2nd St, San Francisco, CA 94016",,,
176762,AA Batteries (4-pack),1,3.84,"977 1st St, Seattle, WA 98101",,,
176763,USB-C Charging Cable,1,11.95,"638 Johnson St, San Francisco, CA 94016",,,
176764,Wired Headphones,1,11.99,"652 Center St, Atlanta, GA 30301",,,
176765,USB-C Charging Cable,1,11.95,"729 Ridge St, San Francisco, CA 94016",,,
176766,AA Batteries (4-pack),2,3.84,"84 Johnson St, Boston, MA 02215",,,
176767,27in 4K Gaming Monitor,1,389.99,"205 4th St, Atlanta, GA 30301",,,
176768,Wired Headphones,1,11.99,"643 Spruce St, Los Angeles, CA 90001",,,
176769,AA Batteries (4-pack),1,3.84,"206 10th St, San Francisco, CA 94016",,,
176770,Wired Headphones,1,11.99,"345 Church St, San Francisco, CA 94016",,,
176771,Lightning Charging Cable,1,14.95,"403 11th St, New York City, NY 10001",,,
176772,AA Batteries (4-pack),1,3.84,"426 14th St, New York City, NY 10001",,,
176773,AAA Batteries (4-pack),2,2.99,"30 9th St, Portland, ME 04101",,,
176774,Lightning Charging Cable,1,14.95,"372 Church St, Los Angeles, CA 90001",,,
176774,USB-C Charging Cable,1,11.95,"372 Church St, Los Angeles, CA 90001",,,
176775,USB-C Charging Cable,2,11.95,"975 Forest St, San Francisco, CA 94016",,,
176776,Bose SoundSport Headphones,1,99.99,"613 Washington St, Seattle, WA 98101",,,
176777,Apple Airpods Headphones,1,150,"163 Jackson St, Portland, OR 97035",,,
176778,34in Ultrawide Monitor,1,379.99,"201 Madison St, San Francisco, CA 94016",,,
176779,27in FHD Monitor,1,149.99,"351 Park St, Atlanta, GA 30301",,,
176780,Lightning Charging Cable,1,14.95,"52 Walnut St, New York City, NY 10001",,,
176781,iPhone,1,700,"976 Hickory St, Dallas, TX 75001",,,
176781,Lightning Charging Cable,1,14.95,"976 Hickory St, Dallas, TX 75001",,,
176782,Apple Airpods Headphones,1,150,"993 13th St, San Francisco, CA 94016",,,
176783,Apple Airpods Headphones,1,150,"926 North St, San Francisco, CA 94016",,,
176784,AAA Batteries (4-pack),1,2.99,"725 Madison St, Los Angeles, CA 90001",,,
176785,Bose SoundSport Headphones,1,99.99,"533 Ridge St, Los Angeles, CA 90001",,,
176786,20in Monitor,1,109.99,"701 North St, San Francisco, CA 94016",,,
176787,Google Phone,1,600,"180 Pine St, Los Angeles, CA 90001",,,
176788,Bose SoundSport Headphones,1,99.99,"200 North St, New York City, NY 10001",,,
176789,Lightning Charging Cable,1,14.95,"990 Meadow St, San Francisco, CA 94016",,,
176790,AAA Batteries (4-pack),1,2.99,"689 9th St, Austin, TX 73301",,,
176791,Google Phone,1,600,"908 Jackson St, Los Angeles, CA 90001",,,
176792,27in 4K Gaming Monitor,1,389.99,"772 11th St, Atlanta, GA 30301",,,
176793,Wired Headphones,1,11.99,"147 South St, San Francisco, CA 94016",,,
176794,Lightning Charging Cable,1,14.95,"425 Adams St, Dallas, TX 75001",,,
176795,Wired Headphones,1,11.99,"360 Center St, San Francisco, CA 94016",,,
176796,Bose SoundSport Headphones,1,99.99,"5 2nd St, Los Angeles, CA 90001",,,
176797,Google Phone,1,600,"923 Elm St, Los Angeles, CA 90001",,,
176797,Bose SoundSport Headphones,1,99.99,"923 Elm St, Los Angeles, CA 90001",,,
176797,Wired Headphones,1,11.99,"923 Elm St, Los Angeles, CA 90001",,,
176798,iPhone,1,700,"445 Jefferson St, Atlanta, GA 30301",,,
176799,Wired Headphones,1,11.99,"452 Spruce St, Portland, OR 97035",,,
176800,Lightning Charging Cable,1,14.95,"766 West St, Atlanta, GA 30301",,,
176801,Vareebadd Phone,1,400,"125 North St, San Francisco, CA 94016",,,
176802,AA Batteries (4-pack),1,3.84,"627 12th St, Boston, MA 02215",,,
176803,AA Batteries (4-pack),1,3.84,"649 7th St, Austin, TX 73301",,,
176804,Bose SoundSport Headphones,1,99.99,"690 Walnut St, Seattle, WA 98101",,,
176805,Google Phone,1,600,"91 Lincoln St, Portland, OR 97035",,,
176805,USB-C Charging Cable,1,11.95,"91 Lincoln St, Portland, OR 97035",,,
176806,Macbook Pro Laptop,1,1700,"197 Cherry St, Austin, TX 73301",,,
176807,USB-C Charging Cable,1,11.95,"758 Hill St, Seattle, WA 98101",,,
176808,Google Phone,1,600,"933 Meadow St, San Francisco, CA 94016",,,
176808,Wired Headphones,1,11.99,"933 Meadow St, San Francisco, CA 94016",,,
176809,Bose SoundSport Headphones,2,99.99,"278 13th St, San Francisco, CA 94016",,,
176810,AAA Batteries (4-pack),1,2.99,"86 Meadow St, Atlanta, GA 30301",,,
176811,AA Batteries (4-pack),2,3.84,"456 13th St, Dallas, TX 75001",,,
176812,Wired Headphones,1,11.99,"569 Willow St, New York City, NY 10001",,,
176813,Google Phone,1,600,"269 Hill St, Atlanta, GA 30301",,,
176813,Wired Headphones,1,11.99,"269 Hill St, Atlanta, GA 30301",,,
176814,Lightning Charging Cable,1,14.95,"501 13th St, New York City, NY 10001",,,
176815,AAA Batteries (4-pack),1,2.99,"327 Adams St, San Francisco, CA 94016",,,
176816,27in 4K Gaming Monitor,1,389.99,"623 Lincoln St, Portland, OR 97035",,,
176817,Lightning Charging Cable,1,14.95,"284 Walnut St, Seattle, WA 98101",,,
176818,Wired Headphones,1,11.99,"642 13th St, San Francisco, CA 94016",,,
176819,AA Batteries (4-pack),2,3.84,"615 9th St, Portland, OR 97035",,,
176820,USB-C Charging Cable,1,11.95,"654 Adams St, Boston, MA 02215",,,
176821,34in Ultrawide Monitor,1,379.99,"72 Meadow St, San Francisco, CA 94016",,,
176822,AAA Batteries (4-pack),1,2.99,"40 Cedar St, Seattle, WA 98101",,,
176823,Wired Headphones,1,11.99,"893 11th St, Seattle, WA 98101",,,
176824,USB-C Charging Cable,2,11.95,"983 Center St, Los Angeles, CA 90001",,,
176825,LG Washing Machine,1,600,"338 6th St, San Francisco, CA 94016",,,
176826,Bose SoundSport Headphones,1,99.99,"72 Meadow St, San Francisco, CA 94016",,,
176827,AAA Batteries (4-pack),1,2.99,"465 Hickory St, Los Angeles, CA 90001",,,
176828,iPhone,1,700,"696 Highland St, Seattle, WA 98101",,,
176829,Wired Headphones,1,11.99,"335 Wilson St, San Francisco, CA 94016",,,
176830,Wired Headphones,1,11.99,"663 5th St, Austin, TX 73301",,,
176831,USB-C Charging Cable,1,11.95,"743 Spruce St, San Francisco, CA 94016",,,
176832,Apple Airpods Headphones,1,150,"533 Spruce St, Los Angeles, CA 90001",,,
176833,Wired Headphones,1,11.99,"226 Madison St, Boston, MA 02215",,,
176834,Lightning Charging Cable,1,14.95,"193 Forest St, San Francisco, CA 94016",,,
176835,USB-C Charging Cable,1,11.95,"628 10th St, Boston, MA 02215",,,
176836,USB-C Charging Cable,2,11.95,"857 Hickory St, Boston, MA 02215",,,
176837,Lightning Charging Cable,1,14.95,"213 River St, New York City, NY 10001",,,
176838,Lightning Charging Cable,1,14.95,"656 South St, New York City, NY 10001",,,
176839,20in Monitor,1,109.99,"625 Willow St, Boston, MA 02215",,,
176840,USB-C Charging Cable,1,11.95,"939 14th St, Austin, TX 73301",,,
176841,AAA Batteries (4-pack),3,2.99,"177 Highland St, San Francisco, CA 94016",,,
176842,AA Batteries (4-pack),2,3.84,"532 1st St, New York City, NY 10001",,,
176843,34in Ultrawide Monitor,1,379.99,"733 Maple St, Atlanta, GA 30301",,,
176844,AA Batteries (4-pack),1,3.84,"983 Main St, Boston, MA 02215",,,
176845,USB-C Charging Cable,1,11.95,"925 Cedar St, San Francisco, CA 94016",,,
176846,USB-C Charging Cable,1,11.95,"599 10th St, New York City, NY 10001",,,
176847,AA Batteries (4-pack),3,3.84,"616 9th St, Austin, TX 73301",,,
176848,27in FHD Monitor,1,149.99,"442 Center St, Boston, MA 02215",,,
176849,34in Ultrawide Monitor,1,379.99,"309 West St, San Francisco, CA 94016",,,
176850,AA Batteries (4-pack),1,3.84,"520 5th St, Seattle, WA 98101",,,
176851,AA Batteries (4-pack),1,3.84,"669 Dogwood St, San Francisco, CA 94016",,,
176852,AA Batteries (4-pack),1,3.84,"731 Lincoln St, Portland, OR 97035",,,
176853,AA Batteries (4-pack),1,3.84,"858 14th St, New York City, NY 10001",,,
176854,AA Batteries (4-pack),1,3.84,"460 South St, Los Angeles, CA 90001",,,
176855,Wired Headphones,1,11.99,"103 12th St, Los Angeles, CA 90001",,,
176856,Lightning Charging Cable,1,14.95,"459 8th St, San Francisco, CA 94016",,,
176857,Bose SoundSport Headphones,1,99.99,"418 14th St, Portland, OR 97035",,,
176858,AAA Batteries (4-pack),1,2.99,"669 Park St, Los Angeles, CA 90001",,,
176859,AA Batteries (4-pack),1,3.84,"525 Adams St, New York City, NY 10001",,,
176860,USB-C Charging Cable,1,11.95,"420 Hill St, San Francisco, CA 94016",,,
176861,Bose SoundSport Headphones,1,99.99,"370 9th St, Los Angeles, CA 90001",,,
176862,AAA Batteries (4-pack),1,2.99,"267 Willow St, San Francisco, CA 94016",,,
176863,27in FHD Monitor,1,149.99,"64 Maple St, New York City, NY 10001",,,
176864,AAA Batteries (4-pack),2,2.99,"453 Meadow St, San Francisco, CA 94016",,,
176865,AA Batteries (4-pack),1,3.84,"952 Washington St, New York City, NY 10001",,,
176866,ThinkPad Laptop,1,999.99,"338 West St, New York City, NY 10001",,,
176867,AAA Batteries (4-pack),1,2.99,"483 Washington St, San Francisco, CA 94016",,,
176868,20in Monitor,1,109.99,"213 Highland St, Boston, MA 02215",,,
176869,Apple Airpods Headphones,1,150,"861 2nd St, Seattle, WA 98101",,,
176870,AAA Batteries (4-pack),3,2.99,"964 Park St, New York City, NY 10001",,,
176871,AA Batteries (4-pack),1,3.84,"489 9th St, Dallas, TX 75001",,,
176872,AA Batteries (4-pack),1,3.84,"678 Madison St, Los Angeles, CA 90001",,,
176873,AA Batteries (4-pack),1,3.84,"532 Spruce St, Los Angeles, CA 90001",,,
176874,AAA Batteries (4-pack),1,2.99,"325 Pine St, New York City, NY 10001",,,
176875,27in 4K Gaming Monitor,1,389.99,"727 Forest St, San Francisco, CA 94016",,,
